idx,name,descr,descr_short,deleted,prioritet,colorid,code_out,tariff_gridid,maxcredit,cost_order_fix,cost_order_perc,descr_user,modemanualcost,cost_order_min,t_order_weight,hot_order,departmentid,descr_voditel,not_calc_without_gps
1,Архивный.Удален,"Городской, 13 руб/км, минималка 70 руб",Гор,true,1,null,null,null,null,null,null,null,0,null,0,05,null,null,"Городской, 13 руб/км, минималка 70 руб"
14,Таксометр,Таксометр,Т,false,1,null,null,null,null,null,null,Таксометр,0,null,0,05,null,null,Таксометр
15,Таксометр Комфорт,Комфорт,ТК,false,1,null,null,null,null,null,null,Комфорт,0,null,0,05,null,null,Комфорт
16,Фиксированный,Фиксированный,Фикс,false,1,null,null,null,null,null,null,"Фиксированная цена, без учета ожидания и доп. услуг",1,null,0,05,null,null,Фиксированный
17,Фиксированный Комфорт,Комфорт,ФК,false,1,null,null,null,null,null,null,"КОМФОРТ Фиксированная цена, без учета ожидания и доп. услуг",1,null,0,05,null,null,Комфорт
20,Курьерская доставка с выходом,null,Дост,false,1,null,null,null,null,null,null,null,1,null,0,05,null,null,null
21,Курьерская доставка с подъемом на этаж,null,Дост,false,1,null,null,null,null,null,null,null,1,null,0,05,null,null,null
27,Доставка без выхода,null,Дост,false,1,null,null,null,null,null,null,null,1,null,0,05,null,null,null
142,Почасовая,"Почасовая 6 руб минута, 180руб минималка",Поч.,false,1,null,null,null,null,null,null,"Почасовая 6 руб минута, 180руб минималка",0,null,0,05,null,null,"Почасовая 6 руб минута, 180руб минималка"
143,Свободная не работает,null,null,false,1,null,null,null,null,null,null,null,0,null,0,05,null,null,null
151,333777,null,Фикс,false,1 000,null,null,null,null,null,null,"Фиксированная цена, без учета ожидания и доп. услуг",0,null,0,05,false,null,null
192,Доставка_Легковая_Город,null,Дост.,false,100,null,null,null,null,null,null,Доставка,1,null,0,05,null,null,null
194,Доставка_Легковая_Загород,null,Дост.,false,100,null,null,null,null,null,null,Доставка,1,null,0,05,null,null,null
195,Доставка_Грузовая_город_3_метра,Доставка грузовая 3 метра,Груз.3м.,false,100,null,null,null,null,null,null,Доставка грузовая 3 метра,1,null,0,05,null,null,Доставка грузовая 3 метра
196,Доставка_Грузовая_город_4_метра,Доставка грузовая 4 метра,Груз.4м.,false,100,null,null,null,null,null,null,Доставка грузовая 4 метра,1,null,0,05,null,null,Доставка грузовая 4 метра
197,Доставка_Грузовая_город_6_метра,Доставка грузовая 6 метров,Груз.6м.,false,100,null,null,null,null,null,null,Доставка грузовая 6 метров,1,null,0,05,null,null,Доставка грузовая 6 метров
198,Доставка_Грузовая_загород,Доставка грузовая загород,Груз.3аг.,false,100,null,null,null,null,null,null,Доставка грузовая загород,1,null,0,05,null,null,Доставка грузовая загород
202,Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!),Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!),Дост.,false,100,null,null,null,null,null,null,Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!),1,null,0,05,null,null,Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!)
